Year,ICPSR State Code,Alphanumeric State Code,Abbrv,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,0,0,US,United States,0.601,0.5920000000000001,0.547,138846571.0,136753936.0,230931921,250055734
2016,41,1,AL,Alabama,0.591,0.588,0.563,2134061.0,2123372.0,3609447,3770142
2016,81,2,AK,Alaska,0.615,0.61,0.574,321271.0,318608.0,522679,555367
2016,61,3,AZ,Arizona,0.561,0.5489999999999999,0.489,2661497.0,2604657.0,4740310,5331034
2016,42,4,AR,Arkansas,0.532,0.528,0.494,1137772.0,1130635.0,2140097,2286625
2016,71,5,CA,California,0.5820000000000001,0.565,0.47,14610509.0,14181595.0,25104844,30201571
2016,62,6,CO,Colorado,0.7190000000000001,0.7,0.6459999999999999,2859216.0,2780247.0,3974405,4305728
2016,1,7,CT,Connecticut,0.649,0.637,0.583,1675955.0,1644920.0,2582761,2821935
2016,11,8,DE,Delaware,0.644,0.642,0.5920000000000001,445228.0,443814.0,691720,749872
2016,55,9,DC,District of Columbia,0.607,0.604,0.5539999999999999,312575.0,311268.0,515248,562329
2016,43,10,FL,Florida,0.6559999999999999,0.645,0.569,9580489.0,9420039.0,14601066,16565588
2016,44,11,GA,Georgia,0.598,0.591,0.526,4165405.0,4114732.0,6959963,7828207
2016,82,12,HI,Hawaii,0.43200000000000005,0.423,0.38299999999999995,437664.0,428937.0,1012860,1120465
2016,63,13,ID,Idaho,0.609,0.5920000000000001,0.55,710545.0,690255.0,1166706,1253925
2016,21,14,IL,Illinois,0.631,0.622,0.5670000000000001,5666118.0,5589631.0,8985443,9866799
2016,22,15,IN,Indiana,0.579,0.564,0.54,2807676.0,2734958.0,4849937,5063393
2016,31,16,IA,Iowa,0.691,0.684,0.6509999999999999,1581371.0,1566031.0,2288536,2406915
2016,32,17,KS,Kansas,0.597,0.5770000000000001,0.54,1225667.0,1184402.0,2054025,2192423
2016,51,18,KY,Kentucky,0.596,0.586,0.561,1955195.0,1924149.0,3282420,3430652
2016,45,19,LA,Louisiana,0.606,0.6,0.568,2049531.0,2029032.0,3384435,3571652
2016,2,20,ME,Maine,0.7290000000000001,0.7070000000000001,0.6940000000000001,771892.0,747927.0,1058372,1078037
2016,52,21,MD,Maryland,0.67,0.664,0.595,2807322.0,2781446.0,4189616,4670900
2016,3,22,MA,Massachusetts,0.6829999999999999,0.672,0.611,3378801.0,3325046.0,4948028,5442458
2016,23,23,MI,Michigan,0.657,0.647,0.62,4874619.0,4799284.0,7420628,7744567
2016,33,24,MN,Minnesota,0.747,0.741,0.6940000000000001,2968281.0,2944813.0,3973204,4240423
2016,34,26,MO,Missouri,0.622,0.622,0.596,2811549.0,2808605.0,4517925,4710784
2016,64,27,MT,Montana,0.643,0.618,0.608,516901.0,497147.0,804250,817702
2016,35,28,NE,Nebraska,0.64,0.628,0.588,860573.0,844227.0,1343821,1436437
2016,65,29,NV,Nevada,0.574,0.574,0.494,1125429.0,1125385.0,1961587,2276281
2016,4,30,NH,New Hampshire,0.725,0.7140000000000001,0.691,755850.0,744296.0,1042795,1076739
2016,12,31,NJ,New Jersey,0.6579999999999999,0.644,0.557,3957303.0,3874046.0,6013656,6959892
2016,66,32,NM,New Mexico,0.5489999999999999,0.545,0.502,804043.0,798319.0,1464515,1591069
2016,13,33,NY,New York,0.5720000000000001,0.568,0.496,7786881.0,7721453.0,13604645,15557982
2016,47,34,NC,North Carolina,0.649,0.645,0.602,4769640.0,4741564.0,7352501,7880013
2016,36,35,ND,North Dakota,0.617,0.608,0.593,349945.0,344360.0,566783,581188
2016,24,36,OH,Ohio,0.642,0.629,0.61,5607641.0,5496487.0,8736808,9007953
2016,72,38,OR,Oregon,0.68,0.662,0.617,2056310.0,2001336.0,3024174,3244277
2016,5,40,RI,Rhode Island,0.597,0.591,0.547,469589.0,464144.0,786012,848975
2016,48,41,SC,South Carolina,0.573,0.5670000000000001,0.542,2123584.0,2103027.0,3709283,3883145
2016,37,42,SD,South Dakota,0.6,0.586,0.5660000000000001,378995.0,370093.0,631173,653841
2016,54,43,TN,Tennessee,0.518,0.511,0.486,2545271.0,2508027.0,4909426,5164969
2016,49,44,TX,Texas,0.514,0.514,0.434,8975000.0,8969226.0,17448910,20671564
2016,67,45,UT,Utah,0.579,0.568,0.528,1152369.0,1131430.0,1991885,2144784
2016,6,46,VT,Vermont,0.648,0.637,0.623,320467.0,315067.0,494871,506048
2016,73,48,WA,Washington,0.657,0.647,0.583,3363440.0,3317019.0,5123020,5691833
2016,68,51,WY,Wyoming,0.602,0.595,0.573,258788.0,255849.0,429682,446396
2014,0,0,US,United States,0.36700000000000005,0.36,0.332,83262122.0,81687059.0,227157964,245712915
2014,41,1,AL,Alabama,0.332,0.32899999999999996,0.315,1191274.0,1180413.0,3588783,3751844
2014,81,2,AK,Alaska,0.5479999999999999,0.542,0.51,285431.0,282382.0,520562,553473
2014,61,3,AZ,Arizona,0.341,0.33399999999999996,0.295,1537671.0,1506416.0,4510186,5110890
