Year,State,Median Income,Number Employed,Number Unemployed,Number Poverty,Number Families in Poverty,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only,Pop: Two or More Races,Pop: Hispanic Origin,Median Home Value,Median Gross Rent,Commute Time: Public Transit,Commute Time: Solo Auto,Commute Time: Walking,Transit: Solo Auto,Transit: Public Transit,Transit: Walking,state,Unemployment Rate,Poverty Rate,Pop Rate: White Only,Pop Rate: Black Only,Pop Rate: American Indian Only,Pop Rate: Native Hawaiian Only,Pop Rate: Two or More Races,Pop Rate: Hispanic Origin,ICPSR State Code,Alphanumeric State Code,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,Florida,50860.0,9219488,585900,2973512,509616,42.1,20612439.0,15574165.0,3310428.0,559393.0,12540.0,570424.0,532751.0,197700.0,1086.0,194347110.0,9069980.0,1857240.0,7221118.0,187114.0,137204.0,12,0.05975286240585278,0.14425813461473433,0.7555711868935064,0.16060341039699377,0.027138612757083236,0.0006083705087010809,0.027673775044282728,0.025846092255263922,43,10,0.6559999999999999,0.645,0.569,9580489.0,9420039.0,14601066,16565588
2016,Georgia,53559.0,4735947,300529,1603013,296261,36.5,10310371.0,6054861.0,3254495.0,398897.0,6503.0,299220.0,258456.0,166800.0,933.0,103563580.0,5024295.0,969940.0,3714350.0,100028.0,72701.0,13,0.05967049182801626,0.15547578258823083,0.5872592751512046,0.3156525599321305,0.03868890847865707,0.0006307241514393614,0.029021264123279367,0.025067575162911207,44,11,0.598,0.591,0.526,4165405.0,4114732.0,6959963,7828207
2016,Hawaii,74511.0,686487,31796,129569,18826,38.9,1428557.0,357994.0,25898.0,543448.0,144568.0,12321.0,341679.0,592000.0,1483.0,,,,474495.0,47808.0,33401.0,15,0.044266674834292336,0.09069921606208223,0.25059833104314355,0.01812878310070932,0.38041744221616636,0.10119862210608327,0.008624787110349814,0.23917771569492852,82,12,0.4320000000000001,0.423,0.383,437664.0,428937.0,1012860,1120465
2016,Idaho,51807.0,762788,37503,237445,41274,36.1,1683140.0,1510119.0,11437.0,24406.0,2375.0,66137.0,42070.0,189400.0,790.0,,,,597208.0,4282.0,19709.0,16,0.04686170405514994,0.1410726380455577,0.8972034411873047,0.00679503784593082,0.01450027923999192,0.0014110531506588875,0.039293819884263934,0.024994949915039748,63,13,0.609,0.5920000000000001,0.55,710545.0,690255.0,1166706,1253925
2016,Illinois,60960.0,6231419,419099,1621508,293044,37.9,12801539.0,9123763.0,1813477.0,684783.0,4851.0,822784.0,321411.0,186500.0,950.0,121152655.0,28132450.0,2330045.0,4483475.0,573372.0,184968.0,17,0.06301749728367023,0.12666508300291082,0.7127082923389133,0.14166085812026194,0.053492240268923914,0.00037893881352859214,0.06427227226351456,0.025107215624621385,21,14,0.631,0.622,0.5670000000000001,5666118.0,5589631.0,8985443,9866799
2016,Indiana,52314.0,3165016,167215,906077,157720,37.6,6633053.0,5536418.0,617745.0,141451.0,3526.0,157755.0,158643.0,134800.0,768.0,60411200.0,1520755.0,752675.0,2586064.0,31443.0,66298.0,18,0.05018109488807949,0.13660029552002675,0.834671153690465,0.09313132278605342,0.021325172586439456,0.000531580254220794,0.02378316591168501,0.02391704091615128,22,15,0.579,0.564,0.54,2807676.0,2734958.0,4849937,5063393
2016,Iowa,56247.0,1613618,66229,356378,60129,38.0,3134693.0,2834162.0,111867.0,74805.0,3949.0,42129.0,57293.0,142300.0,741.0,24397280.0,516005.0,517780.0,1286536.0,17064.0,54449.0,19,0.03942561435654557,0.11368832609764337,0.9041274536294304,0.03568674827168083,0.023863580899309757,0.0012597724880873502,0.013439593606136231,0.0182770689187107,31,16,0.691,0.684,0.6509999999999999,1581371.0,1566031.0,2288536,2406915
2016,Kansas,54935.0,1426134,67003,342544,56464,36.5,2907289.0,2458966.0,166551.0,79741.0,2922.0,74123.0,103366.0,144900.0,789.0,22570685.0,288545.0,303710.0,1168600.0,7338.0,35041.0,20,0.044873980083542236,0.11782247998049042,0.845793452250533,0.0572873904176709,0.027427957798485118,0.0010050600404706929,0.025495573367491156,0.03555408492241397,32,17,0.597,0.5770000000000001,0.54,1225667.0,1184402.0,2054025,2192423
2016,Kentucky,46659.0,1954642,124677,794060,156782,38.7,4436974.0,3866333.0,366157.0,61311.0,2307.0,37591.0,92135.0,135600.0,707.0,36346775.0,897280.0,447850.0,1582234.0,20925.0,41353.0,21,0.05996049668184632,0.17896431216410102,0.8713896002095122,0.08252403552511238,0.013818201323694932,0.0005199489562030339,0.008472215523462612,0.020765278318060913,51,18,0.596,0.586,0.561,1955195.0,1924149.0,3282420,3430652
2016,Louisiana,45146.0,2020951,151211,918187,168708,36.5,4681666.0,2901495.0,1514755.0,77921.0,1030.0,68208.0,92749.0,158000.0,808.0,40804925.0,1085130.0,342310.0,1657170.0,25489.0,33167.0,22,0.06961313198555172,0.19612398663210917,0.6197569412256235,0.3235504198719003,0.016643861394640285,0.00022000715130041315,0.014569172597959786,0.019811109976662154,45,19,0.606,0.6,0.568,2049531.0,2029032.0,3384435,3571652
2016,Maine,53079.0,658476,30560,161749,25210,44.5,1331479.0,1257120.0,19963.0,17499.0,214.0,2450.0,26340.0,184700.0,797.0,12223700.0,177660.0,272345.0,511012.0,4232.0,25820.0,23,0.0443518190631549,0.12148069928252718,0.9441530808972579,0.014993101656128261,0.013142527970775355,0.00016072352624412403,0.0018400590621406722,0.019782512529300123,2,20,0.7290000000000001,0.7070000000000001,0.6940000000000001,771892.0,747927.0,1058372,1078037
2016,Maryland,78945.0,3073923,175235,567715,92359,38.5,6016447.0,3397255.0,1793593.0,376518.0,2480.0,230326.0,201041.0,306900.0,1314.0,69698735.0,14197355.0,983630.0,2247708.0,258950.0,74847.0,24,0.0539324341875649,0.0943605087853346,0.5646613358349205,0.29811498381021223,0.06258145380487853,0.00041220341507205164,0.03828272733059894,0.033415236600604976,52,21,0.67,0.664,0.595,2807322.0,2781446.0,4189616,4670900
2016,Massachusetts,75297.0,3571010,198840,686597,119222,39.5,6811779.0,5350175.0,506677.0,440845.0,3758.0,285412.0,212365.0,366900.0,1179.0,69365555.0,16939385.0,2362635.0,2457107.0,354611.0,168580.0,25,0.05274480416992718,0.10079554841694072,0.785429914857778,0.07438247776388518,0.06471804208562844,0.0005516914157079964,0.04189977390634664,0.03117614355956058,3,22,0.6829999999999999,0.672,0.611,3378801.0,3325046.0,4948028,5442458
2016,Michigan,52492.0,4586513,304288,1451936,251751,39.7,9928300.0,7793481.0,1363336.0,292514.0,2967.0,118621.0,306220.0,147100.0,818.0,90024560.0,2803890.0,1064095.0,3700498.0,64250.0,94131.0,26,0.062216393592787765,0.14624215626038697,0.7849763806492551,0.13731817128813595,0.029462647180282627,0.0002988427021745918,0.011947765478480707,0.030843145352175097,23,23,0.657,0.647,0.62,4874619.0,4799284.0,7420628,7744567
